Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
57,Ongedechuul System of Conservation Areas (Ngermasech Conservation Area),Climate,Discusses protection as climate mitigation strategy,"""Protection of multiple
sources provides a buffer to human-induced stresses and gives the community of Ngardmau some resilience to
climate change induced droughts."""
57,Ongedechuul System of Conservation Areas (Ngermasech Conservation Area),Design,Design principles applied with explicit climate change context,"Natural refuge; potential for habitat transition with sea level rise in Ngermasech; As a linked network of connected sites, the System is resilient to some threats associated with climate change."
57,Ongedechuul System of Conservation Areas (Ngermasech Conservation Area),Design,Protecting shifting distributions,Natural refuge; potential for habitat transition with sea level rise in Ngermasech
57,Ongedechuul System of Conservation Areas (Ngermasech Conservation Area),Management,Reduction of other threats linked to climate resilience,"""Multiple rivers drain into the water source and are protected. Protection of multiple
sources provides a buffer to human-induced stresses and gives the community of Ngardmau some resilience to
climate change induced droughts."""
59,Rock Islands Southern Lagoon,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),"Develop strategies to enhance resilience of ecosystems to climate change: research on threats and resilience of ecosystems, assessing non-climatic stressors, identifying management practices and feasibility for actions to mitigate shoreline erosion"
59,Rock Islands Southern Lagoon,Objectives,Objectives explicitly connected to climate change,"Objective to develop strategies to enhance the resilience of ecosystems to climate change - actions include research, monitoring, vulnerability assessments, and action plans"
59,Rock Islands Southern Lagoon,Objectives,General climate change adaptation,"""Management
actions regarding these issues focus on building knowledge and strategies to enhance the
resilience of ecosystems in the RISL to climate change threats, including continuing research
into key climatic stresses, and developing action plans to reduce non-climatic stresses which
weaken ecosystem resilience."""
59,Rock Islands Southern Lagoon,Objectives,Maintain function/biodiversity in climate change,Not explicitly
59,Rock Islands Southern Lagoon,Objectives,Enhance overall system resilience to climate change,"Develop strategies to enhance resilience of ecosystems to climate change: research on threats and resilience of ecosystems, assessing non-climatic stressors, identifying management practices and feasibility for actions to mitigate shoreline erosion"
59,Rock Islands Southern Lagoon,Objectives,Promote climate change research (or increase cc knowledge),"Develop strategies to enhance resilience of ecosystems to climate change: research on threats and resilience of ecosystems, assessing non-climatic stressors, identifying management practices and feasibility for actions to mitigate shoreline erosion"
59,Rock Islands Southern Lagoon,Assessment,Conducted climate change vulnerability assessment,Action to conduct vulnerability assessments
59,Rock Islands Southern Lagoon,Management,Reduction of other threats linked to climate resilience,"""By 2016 strategies have been
developed to enhance the resilience
of ecosystems in the RISL to climate
change."""
62,Kayangel Protected Areas Network (Ngkesol Barrier Reef),Objectives,Objectives explicitly connected to climate change,"Protect ""desirable ecological assemblage so they remain resilient to future natural disturbances expected in a future, changing climate"""
62,Kayangel Protected Areas Network (Ngkesol Barrier Reef),Objectives,Maintain function/biodiversity in climate change,"Protect ""desirable ecological assemblage so they remain resilient to future natural disturbances expected in a future, changing climate"""
